timestamp,raw_torque_j0,smoothed_torque_j0,raw_torque_j1,smoothed_torque_j1,raw_torque_j2,smoothed_torque_j2,raw_torque_j3,smoothed_torque_j3,raw_torque_j4,smoothed_torque_j4,raw_torque_j5,smoothed_torque_j5,raw_torque_j6,smoothed_torque_j6
1765557299122676456,-10.2732,-10.2732,9.20954,9.20954,-3.9258,-3.9258,2.12623,2.12623,0.0460531,0.0460531,-0.0613465,-0.0613465,-0.00152305,-0.00152305
1765557299124786071,-10.2793,-10.2793,9.21587,9.21587,-3.92961,-3.92961,2.12544,2.12544,0.0466919,0.0466919,-0.0609077,-0.0609077,-0.00148523,-0.00148523
1765557299126879903,-10.2848,-10.2848,9.21654,9.21654,-3.93309,-3.93309,2.12297,2.12297,0.0471018,0.0471018,-0.0604742,-0.0604742,-0.0014488,-0.0014488
1765557299129025277,-10.2905,-10.2905,9.21839,9.21839,-3.93676,-3.93676,2.12117,2.12117,0.0477378,0.0477378,-0.0600133,-0.0600133,-0.00141051,-0.00141051
1765557299131025451,-10.2985,-10.2985,9.2188,9.2188,-3.942,-3.942,2.11715,2.11715,0.0480261,0.0480261,-0.0593556,-0.0593556,-0.00135532,-0.00135532
1765557299133102590,-10.304,-10.304,9.21171,9.21171,-3.94533,-3.94533,2.11227,2.11227,0.0474287,0.0474287,-0.0588895,-0.0588895,-0.00131828,-0.00131828
1765557299135236929,-10.309,-10.309,9.20886,9.20886,-3.94854,-3.94854,2.1086,2.1086,0.0473095,0.0473095,-0.0584687,-0.0584687,-0.00128325,-0.00128325
1765557299137332716,-10.314,-10.314,9.20106,9.20106,-3.95169,-3.95169,2.1041,2.1041,0.04702,0.04702,-0.058014,-0.058014,-0.00124776,-0.00124776
1765557299139451271,-10.3188,-10.3188,9.19445,9.19445,-3.95467,-3.95467,2.09967,2.09967,0.0466197,0.0466197,-0.0575943,-0.0575943,-0.00121439,-0.00121439
1765557299141538537,-10.3237,-10.3237,9.19132,9.19132,-3.95776,-3.95776,2.09642,2.09642,0.0464683,0.0464683,-0.0571782,-0.0571782,-0.00118085,-0.00118085
1765557299143635791,-10.3284,-10.3284,9.18918,9.18918,-3.96072,-3.96072,2.09319,2.09319,0.0462974,0.0462974,-0.0567849,-0.0567849,-0.00114859,-0.00114859
1765557299145708740,-10.3337,-10.3337,9.18996,9.18996,-3.9639,-3.9639,2.09119,2.09119,0.0463824,0.0463824,-0.0563779,-0.0563779,-0.00111558,-0.00111558
